"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"大阪城公園　公衆トイレ２","大阪市中央区大阪城0 1-1","おおさかじょうこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5253949","34.6867671000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ３","大阪市中央区大阪城0 1-1","おおさかじょうこうえん　こうしゅうといれ３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5251011","34.6857293000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ４","大阪市中央区大阪城0 1-1","おおさかじょうこうえん　こうしゅうといれ４","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5283081","34.6867671000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ５","大阪市中央区城見1丁目 1-3","おおさかじょうこうえん　こうしゅうといれ５","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5261899","34.6897228000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ６","大阪市中央区大阪城0 3-29","おおさかじょうこうえん　こうしゅうといれ６","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5228758","34.6884025000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ７","大阪市中央区大阪城0 2-1","おおさかじょうこうえん　こうしゅうといれ７","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5255243","34.6844746000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ８","大阪市中央区大阪城0 2-24","おおさかじょうこうえん　こうしゅうといれ８","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5215822","34.6856255000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ９","大阪市中央区大阪城0 2-21","","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5220168","34.6835480000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ１１","大阪市中央区大阪城0 3-13","おおさかじょうこうえん　こうしゅうといれ１１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5296489","34.6823719000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ１２","大阪市中央区大阪城0 3-11","おおさかじょうこうえん　こうしゅうといれ１２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5304297","34.6842623000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ１３","大阪市中央区大阪城0 3-7","おおさかじょうこうえん　こうしゅうといれ１３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5320905","34.6836266000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ１４","大阪市中央区大阪城0 3-10","おおさかじょうこうえん　こうしゅうといれ１４","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5329778","34.6823169000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ１５","大阪市中央区大阪城0 3-4","おおさかじょうこうえん　こうしゅうといれ１５","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5332284","34.6863409000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ１６","大阪市中央区城見1丁目 4-82","おおさかじょうこうえん　こうしゅうといれ１６","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5323398","34.6890647000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ１８","大阪市中央区城見1丁目 1-33","おおさかじょうこうえん　こうしゅうといれ１８","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5285224","34.6899008000003","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ２","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5779457","34.7163489000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ３","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5784692","34.7152690000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ４","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ４","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5775758","34.7139251000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ５","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ５","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5760572","34.7119927000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ６","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ６","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5778197","34.7115706000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ７","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ７","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5762405","34.7107650000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ８","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ８","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5786908","34.7092637000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ９","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ９","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5729917","34.7109341000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ１０","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ１０","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5722856","34.7129260000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ１１","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくちち　こうしゅうといれ１１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5692679","34.7106956000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ１２","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ１２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.569619","34.7126691000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ１３","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ１３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5690409","34.7163235000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ１４","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ１４","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5728772","34.7160104000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ１７","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ１７","公衆トイレ","車いす対応公衆便所","","","","","","","","135.563655","34.7115322000002","車いす対応公衆便所"
"扇町公園　公衆トイレ１","大阪市北区扇町2丁目 2-9","おうぎまちこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5087725","34.7047368000003","車いす対応公衆便所"
"鶴満寺公園　公衆トイレ","大阪市北区長柄東1丁目 3-15","かくまんじこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5161607","34.7112121000003","車いす対応公衆便所"
"天六","大阪市北区天神橋6丁目 4-20","てんろく","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　洋：１　和：１　小：２　　女性用　洋：１　和：１　　男女兼用車いす対応：１","","135.5114425","34.7105656000003","車いす対応公衆便所"
"大正橋公衆トイレ","大阪市大正区三軒家東1-1","たいしょうばしこうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１","","135.479868700001","34.6667841300004","公衆便所"
"鶴町北公園　公衆トイレ","大阪市大正区鶴町4丁目 4-11","つるまちきたこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：１　　男女兼用　和：１","","135.454280000001","34.6438319000005","公衆便所"
"生玉町公衆トイレ","大阪市天王寺区生玉町13","いくたまちょうこうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　洋：１","","135.5129941","34.6659017000003","公衆便所"
